customer_id, first_name, last_name, email, phone, address, city, state, country, zip_code, date_of_birth, customer_type
49, Erika, Kline, erika.kline@hotmail.com, +447391742288, 18 Martinez Shore, Street, Coventry, Birmingham, United Kingdom, 477 5IJ, 1971-07-10, Premium
50, Mary, Patterson, mary.patterson@yahoo.com, +447668297054, 50 Solis Springs, Bridge, Gateshead, Newcastle, United Kingdom, 518 1AB, 2003-06-29, Regular
51, Michael, Lee, michael.lee@outlook.com, +447165936281, 72 Sierra Islands, Walk, Gedling, Nottingham, United Kingdom, 149 9QR, 1981-04-02, Regular
52, Andrea, Cox, andrea.cox@yahoo.com, +447602358009, 63 Austin Flats, Plain, South Gloucestershire, Bristol, United Kingdom, 372 5IJ, 1995-12-31, Premium
53, Brandi, Hernandez, brandi.hernandez@gmail.com, +447128472089, 91 Hanson Tunnel, Plaza, Gedling, Nottingham, United Kingdom, 827 2CD, 1993-09-29, Premium
54, Jessica, Cox, jessica.cox@gmail.com, +447589285572, 44 Long Rue, Summit, Newcastle, Newcastle, United Kingdom, 505 1AB, 1988-10-07, Regular
55, Charles, Thompson, charles.thompson@gmail.com, +447297831796, 39 Ashley Branch, Way, Newcastle, Newcastle, United Kingdom, 656 9QR, 1987-06-23, Premium
56, Harold, Alexander, harold.alexander@gmail.com, +447281187601, 31 Jason Extensions, Throughway, Oldham, Manchester, United Kingdom, 901 1AB, 1952-06-24, Premium
57, Cameron, Padilla, cameron.padilla@hotmail.com, +447253955281, 98 Jackson Mountains, Plains, Wirral, Liverpool, United Kingdom, 156 3EF, 1990-02-10, Premium
58, Richard, Colon, richard.colon@outlook.com, +447644616725, 95 Holly Mission, Bridge, Birmingham, Birmingham, United Kingdom, 692 6KL, 1961-05-03, Regular
59, Kelli, Bowen, kelli.bowen@hotmail.com, +447654148846, 27 Barrett Fall, Fords, Westminster, London, United Kingdom, 841 8OP, 1971-11-07, Premium
60, Patrick, Dyer, patrick.dyer@gmail.com, +447664476885, 59 Tina Gateway, Point, Oldham, Manchester, United Kingdom, 634 7MN, 1970-10-26, Regular
61, Justin, Johnson, justin.johnson@outlook.com, +447066015292, 36 Erika Glens, Parks, Sandwell, Birmingham, United Kingdom, 801 3EF, 1977-03-26, Premium
62, Kristie, Gonzales, kristie.gonzales@outlook.com, +447069225120, 49 David Wall, Mews, South Tyneside, Newcastle, United Kingdom, 392 3EF, 1990-11-20, Premium
63, Troy, Franklin, troy.franklin@yahoo.com, +447657854840, 36 Allison Tunnel, Fields, Barnsley, Sheffield, United Kingdom, 445 5IJ, 1957-06-26, Premium
64, Brian, Meyer, brian.meyer@outlook.com, +447070690568, 23 Raymond Mountain, Curve, North Tyneside, Newcastle, United Kingdom, 594 4GH, 1957-11-28, Regular
65, Kyle, Smith, kyle.smith@gmail.com, +447271565247, 37 Jaime Fall, Hill, Sefton, Liverpool, United Kingdom, 922 8OP, 1963-02-16, Premium
66, Cole, Velasquez, cole.velasquez@gmail.com, +447424698328, 45 Parsons Squares, Fields, Sefton, Liverpool, United Kingdom, 954 5IJ, 1977-07-19, Premium
67, Douglas, Smith, douglas.smith@icloud.com, +447172377591, 65 Nicole Walks, Stravenue, Wakefield, Leeds, United Kingdom, 265 4GH, 1982-12-26, Premium
68, Karen, Cruz, karen.cruz@gmail.com, +447658120113, 12 Garcia Trafficway, Road, Tameside, Manchester, United Kingdom, 138 7MN, 1967-07-11, Regular
69, Erica, Burke, erica.burke@icloud.com, +447335166618, 76 Ward Highway, Curve, Harrow, London, United Kingdom, 232 9QR, 1983-08-21, Premium
70, Richard, Hall, richard.hall@gmail.com, +447626150732, 59 Moore Islands, Common, Salford, Manchester, United Kingdom, 724 3EF, 1963-10-30, Premium
71, Joseph, Anderson, joseph.anderson@hotmail.com, +447128006624, 21 Andrew Square, Port, Camden, London, United Kingdom, 869 1AB, 1962-01-09, Regular
72, Deborah, Nelson, deborah.nelson@hotmail.com, +447963950243, 94 Laura Pine, Lights, Bath, Bristol, United Kingdom, 982 8OP, 1964-05-11, Premium
73, Jason, Guerrero, jason.guerrero@yahoo.com, +447545623403, 83 Courtney Stravenue, Vista, Barnsley, Sheffield, United Kingdom, 816 3EF, 1973-07-05, Regular
74, Eric, Brown, eric.brown@gmail.com, +447813680390, 94 Jeremy Common, Village, Sefton, Liverpool, United Kingdom, 564 8OP, 1973-11-23, Regular
75, Greg, Alvarez, greg.alvarez@gmail.com, +447934320611, 46 Anthony Springs, Ridges, Eastleigh, Southampton, United Kingdom, 892 9QR, 1955-06-13, Premium
76, Kathryn, Gray, kathryn.gray@yahoo.com, +447643926213, 66 Wilson Lodge, Harbor, Bury, Manchester, United Kingdom, 875 2CD, 1984-06-19, Premium
77, Molly, Jackson, molly.jackson@gmail.com, +447675855715, 7 Eric Via, Cliffs, Coventry, Birmingham, United Kingdom, 322 6KL, 1997-09-23, Regular
78, John, Kelly, john.kelly@gmail.com, +447006757532, 8 Rebecca Mall, Vista, St Helens, Liverpool, United Kingdom, 447 5IJ, 1982-03-07, Regular
79, Stephen, Ruiz, stephen.ruiz@yahoo.com, +447369590049, 28 Trevor Forks, Isle, Southampton, Southampton, United Kingdom, 579 1AB, 1997-06-15, Regular
80, Joshua, Aguirre, joshua.aguirre@icloud.com, +447086743433, 42 Jessica Plaza, Circle, South Gloucestershire, Bristol, United Kingdom, 755 1AB, 1981-09-26, Regular
81, Cathy, Smith, cathy.smith@icloud.com, +447062790322, 78 Jones Drive, Ridges, Islington, London, United Kingdom, 724 1AB, 1961-09-16, Premium
82, Jaclyn, English, jaclyn.english@icloud.com, +447143358138, 76 Brianna Forges, Valley, Kingston, London, United Kingdom, 501 1AB, 1984-12-11, Regular
83, Matthew, Green, matthew.green@icloud.com, +447045458052, 52 Wanda Isle, Manors, South Gloucestershire, Bristol, United Kingdom, 465 9QR, 1990-09-30, Premium
84, Mary, Adams, mary.adams@gmail.com, +447888275428, 2 Cynthia Field, Port, Newcastle, Newcastle, United Kingdom, 322 8OP, 1994-12-04, Premium
85, Robert, Miller, robert.miller@gmail.com, +447206541585, 86 Bowman Extension, Square, Bristol, Bristol, United Kingdom, 378 7MN, 1980-10-09, Premium
86, Michael, Watts, michael.watts@icloud.com, +447903857316, 59 Mueller Forest, Valley, Solihull, Birmingham, United Kingdom, 563 7MN, 1992-01-23, Regular
87, Mark, Schroeder, mark.schroeder@hotmail.com, +447430811733, 95 Deborah Forest, Shoal, North East Somerset, Bristol, United Kingdom, 195 6KL, 1984-10-03, Premium
88, Katelyn, Waters, katelyn.waters@outlook.com, +447927332582, 92 Michele Stravenue, Alley, Bristol, Bristol, United Kingdom, 461 8OP, 1993-03-02, Premium
89, Holly, Hampton, holly.hampton@hotmail.com, +447044401614, 90 Hannah Inlet, Locks, Sefton, Liverpool, United Kingdom, 696 4GH, 1993-08-27, Premium
90, Thomas, Cox, thomas.cox@hotmail.com, +447241109132, 89 Marcus Drives, Burgs, Lewisham, London, United Kingdom, 806 8OP, 1974-01-10, Premium
91, Mary, Scott, mary.scott@gmail.com, +447643902368, 8 Wong Alley, Cove, Fareham, Southampton, United Kingdom, 404 7MN, 1963-05-28, Premium
92, Richard, Cole, richard.cole@icloud.com, +447733268086, 16 Kent Points, Parkway, Fareham, Southampton, United Kingdom, 888 7MN, 1962-11-26, Regular
93, Angela, Thomas, angela.thomas@yahoo.com, +447591726991, 76 Suarez Branch, Manor, Calderdale, Leeds, United Kingdom, 267 8OP, 1990-09-20, Premium
94, Bradley, May, bradley.may@icloud.com, +447010234052, 39 Davila Extension, Radial, Haringey, London, United Kingdom, 927 6KL, 1963-07-11, Premium
95, Christopher, Parker, christopher.parker@gmail.com, +447836592570, 70 Gibbs Streets, Knoll, Ashfield, Nottingham, United Kingdom, 553 9QR, 2003-08-01, Premium
96, Cory, Harper, cory.harper@gmail.com, +447547816310, 12 Michelle Forks, Summit, Gateshead, Newcastle, United Kingdom, 487 2CD, 1949-07-29, Premium
97, Kelly, Miller, kelly.miller@hotmail.com, +447336401412, 48 Travis Station, Valleys, South Gloucestershire, Bristol, United Kingdom, 133 3EF, 1976-04-12, Regular
98, George, Wade, george.wade@outlook.com, +447877375437, 81 Matthews Green, Underpass, Sefton, Liverpool, United Kingdom, 521 3EF, 1958-01-13, Premium
99, Lisa, Larsen, lisa.larsen@hotmail.com, +447739908991, 21 Gill Island, Roads, South Gloucestershire, Bristol, United Kingdom, 304 4GH, 1974-04-29, Premium
100, Kelly, Owens, kelly.owens@icloud.com, +447667357420, 65 Sexton Manors, Prairie, Leeds, Leeds, United Kingdom, 461 4GH, 1994-06-25, Regular
101, Kim, Lowe, kim.lowe@hotmail.com, +447826527621, 50 Bennett Grove, Roads, Dudley, Birmingham, United Kingdom, 262 2CD, 1966-02-22, Regular
102, Lori, Savage, lori.savage@gmail.com, +447145185691, 71 Samuel View, Light, Birmingham, Birmingham, United Kingdom, 665 2CD, 1996-10-02, Premium
103, Darren, Hebert, darren.hebert@outlook.com, +447132414040, 88 Austin Wall, Inlet, Sheffield, Sheffield, United Kingdom, 177 6KL, 1981-06-11, Premium
104, Steven, Thomas, steven.thomas@hotmail.com, +447433903449, 1 Robin Summit, Islands, Gosport, Southampton, United Kingdom, 529 9QR, 1957-01-28, Premium
105, Misty, Salazar, misty.salazar@yahoo.com, +447276542935, 66 Donald Orchard, Port, Doncaster, Sheffield, United Kingdom, 257 6KL, 1953-04-22, Premium
106, Kari, Morales, kari.morales@hotmail.com, +447432236099, 96 Justin Union, Lights, Coventry, Birmingham, United Kingdom, 731 2CD, 1960-06-22, Premium
107, Francisco, Gallagher, francisco.gallagher@hotmail.com, +447419536343, 40 Gutierrez Crest, Streets, Barnsley, Sheffield, United Kingdom, 403 5IJ, 1977-07-07, Premium
108, Teresa, Martinez, teresa.martinez@gmail.com, +447760128744, 65 Tami Crossing, Row, Sheffield, Sheffield, United Kingdom, 827 1AB, 1989-09-18, Regular
109, Marilyn, Anderson, marilyn.anderson@hotmail.com, +447828251639, 69 Laura Fields, Villages, Southwark, London, United Kingdom, 128 2CD, 1991-10-14, Regular
110, Laura, Golden, laura.golden@hotmail.com, +447108466676, 41 Sims Road, Mountains, Newcastle, Newcastle, United Kingdom, 667 6KL, 1989-06-02, Premium
111, Keith, Jenkins, keith.jenkins@hotmail.com, +447234033376, 65 Clark Points, Mission, Sutton, London, United Kingdom, 766 1AB, 1952-08-13, Premium
112, Kathy, Diaz, kathy.diaz@hotmail.com, +447783535135, 99 Lewis Crest, Divide, Harrow, London, United Kingdom, 341 1AB, 1972-02-01, Premium
113, Jody, Vance, jody.vance@gmail.com, +447503502302, 35 Mejia Locks, Shoal, Wakefield, Leeds, United Kingdom, 463 1AB, 1979-08-07, Regular
114, April, Wolfe, april.wolfe@gmail.com, +447121333383, 89 Kennedy Shoals, Junctions, Solihull, Birmingham, United Kingdom, 364 4GH, 1975-10-24, Regular
115, Darren, Black, darren.black@hotmail.com, +447852086115, 38 Leon Harbor, Green, Barnsley, Sheffield, United Kingdom, 412 1AB, 1952-01-19, Regular
116, Crystal, Juarez, crystal.juarez@icloud.com, +447991930978, 97 Laura Row, Underpass, Southampton, Southampton, United Kingdom, 601 3EF, 2004-04-16, Premium
117, Timothy, Weeks, timothy.weeks@hotmail.com, +447629274882, 9 Brandon Radial, Meadow, Kirklees, Leeds, United Kingdom, 343 8OP, 2006-07-02, Regular
118, Wayne, Turner, wayne.turner@icloud.com, +447713183352, 55 Lee Falls, Plains, Wigan, Manchester, United Kingdom, 364 3EF, 2001-10-08, Premium
119, Joel, Tapia, joel.tapia@hotmail.com, +447883529904, 81 Thomas Keys, Wells, Barking, London, United Kingdom, 129 5IJ, 1977-01-25, Regular
120, Larry, Perry, larry.perry@hotmail.com, +447037346982, 62 Zuniga Island, Lane, Newark, Nottingham, United Kingdom, 559 9QR, 1958-08-24, Premium
121, Max, Ellis, max.ellis@yahoo.com, +447189111643, 50 Hernandez Trafficway, Manors, Dudley, Birmingham, United Kingdom, 139 6KL, 1949-06-21, Regular
122, Patricia, Stevens, patricia.stevens@icloud.com, +447856093910, 10 Holloway Trail, Unions, Sandwell, Birmingham, United Kingdom, 376 9QR, 1971-05-10, Premium
123, Mary, Webb, mary.webb@hotmail.com, +447100995995, 3 Wilson Fords, Forge, Barking, London, United Kingdom, 559 3EF, 1976-04-28, Premium
124, Jeffrey, Nelson, jeffrey.nelson@outlook.com, +447870076589, 23 Holland Ranch, Divide, Nottingham, Nottingham, United Kingdom, 846 1AB, 1969-08-09, Regular
125, Michael, Jacobs, michael.jacobs@icloud.com, +447253822429, 99 Kelly Plaza, Village, St Helens, Liverpool, United Kingdom, 548 7MN, 1985-10-07, Regular
126, Ashley, Jennings, ashley.jennings@outlook.com, +447109209899, 39 Jacob Orchard, Fall, Wakefield, Leeds, United Kingdom, 452 9QR, 1983-03-16, Premium
127, Kevin, Hill, kevin.hill@icloud.com, +447290344172, 68 Nicholas Land, Burgs, Bradford, Leeds, United Kingdom, 537 4GH, 2005-09-23, Premium
128, Johnathan, Baird, johnathan.baird@gmail.com, +447704546148, 48 Flores Gardens, Cove, Southampton, Southampton, United Kingdom, 731 8OP, 1972-11-12, Premium
129, Robin, Davidson, robin.davidson@icloud.com, +447067570191, 100 Eric Throughway, Meadow, Wandsworth, London, United Kingdom, 443 1AB, 1967-04-07, Premium
130, Christopher, Townsend, christopher.townsend@gmail.com, +447366681653, 24 Adam Village, Courts, Wakefield, Leeds, United Kingdom, 476 6KL, 1994-01-03, Premium
131, Wanda, Carpenter, wanda.carpenter@hotmail.com, +447725468865, 39 Angela Springs, Run, North East Somerset, Bristol, United Kingdom, 711 8OP, 1987-08-12, Premium
132, Haley, Hurst, haley.hurst@icloud.com, +447254328190, 68 Collins Lane, Field, Tameside, Manchester, United Kingdom, 633 6KL, 1967-09-08, Premium
133, Madison, Morton, madison.morton@icloud.com, +447635394415, 25 Knox Mill, Circles, Broxtowe, Nottingham, United Kingdom, 415 2CD, 1987-12-08, Premium
134, Kari, Woodard, kari.woodard@hotmail.com, +447945394906, 31 Joseph Pines, Valley, North Tyneside, Newcastle, United Kingdom, 441 8OP, 1961-07-07, Premium
135, Cynthia, Ramos, cynthia.ramos@outlook.com, +447147135361, 90 Ronald Cliffs, Junctions, Newcastle, Newcastle, United Kingdom, 555 7MN, 1984-07-03, Premium
136, Craig, Sloan, craig.sloan@hotmail.com, +447098892924, 59 Thompson Motorway, Ports, Doncaster, Sheffield, United Kingdom, 844 9QR, 1997-11-28, Regular
137, John, Hernandez, john.hernandez@hotmail.com, +447212525897, 38 Amy Road, Expressway, Bristol, Bristol, United Kingdom, 728 5IJ, 1999-02-26, Regular
138, Hannah, Warren, hannah.warren@hotmail.com, +447190232714, 38 Austin Haven, Square, Newark, Nottingham, United Kingdom, 332 6KL, 2000-12-15, Premium
139, Andrea, Howard, andrea.howard@gmail.com, +447979955171, 100 Francisco Station, Way, Bristol, Bristol, United Kingdom, 459 6KL, 2003-06-24, Premium
140, Jennifer, Gomez, jennifer.gomez@gmail.com, +447364840437, 82 Michael Crossroad, Fords, Sunderland, Newcastle, United Kingdom, 143 7MN, 2004-12-27, Premium
141, Elizabeth, Nguyen, elizabeth.nguyen@hotmail.com, +447762776869, 57 Nicholas Locks, Corners, Ealing, London, United Kingdom, 757 4GH, 2002-02-01, Premium
142, Teresa, Palmer, teresa.palmer@icloud.com, +447968946634, 64 Matthew Unions, River, Knowsley, Liverpool, United Kingdom, 853 5IJ, 1964-10-31, Premium
143, Megan, Mckay, megan.mckay@icloud.com, +447356105504, 13 Haley Falls, Crest, Bradford, Leeds, United Kingdom, 893 9QR, 1983-05-12, Regular
144, Joshua, Coleman, joshua.coleman@icloud.com, +447421536392, 25 Francisco Mountains, Walk, Knowsley, Liverpool, United Kingdom, 827 2CD, 1967-10-27, Regular
145, Lacey, Chen, lacey.chen@gmail.com, +447361968117, 51 Warner Dam, Cliffs, Fareham, Southampton, United Kingdom, 524 3EF, 2004-01-02, Premium
146, Lori, Wise, lori.wise@hotmail.com, +447995457808, 52 Rodriguez Field, Plain, North Tyneside, Newcastle, United Kingdom, 204 3EF, 1969-07-04, Regular
147, Eric, Hoffman, eric.hoffman@hotmail.com, +447012563997, 13 Miller Trace, Harbor, Doncaster, Sheffield, United Kingdom, 459 3EF, 1966-10-15, Regular
148, Brett, Arnold, brett.arnold@gmail.com, +447500073149, 40 Kathryn Spur, Turnpike, Dudley, Birmingham, United Kingdom, 615 6KL, 2005-10-10, Premium
149, Emily, Coleman, emily.coleman@icloud.com, +447499998725, 49 Ortiz Square, Expressway, Wandsworth, London, United Kingdom, 135 2CD, 1955-08-06, Regular
150, Christopher, Allen, christopher.allen@icloud.com, +447820465026, 77 Haney Lane, Views, North Tyneside, Newcastle, United Kingdom, 337 5IJ, 1965-04-19, Regular
151, Daniel, Evans, daniel.evans@hotmail.com, +447391462545, 62 Reynolds Extension, Mountain, Sheffield, Sheffield, United Kingdom, 489 3EF, 1989-08-04, Premium
152, Richard, Fisher, richard.fisher@icloud.com, +447608477008, 54 Natalie Crossing, Island, South Gloucestershire, Bristol, United Kingdom, 742 2CD, 1950-08-08, Premium
153, Mary, Butler, mary.butler@gmail.com, +447738900310, 28 Christopher Place, Well, Solihull, Birmingham, United Kingdom, 998 5IJ, 1973-07-11, Regular
154, Samantha, Reid, samantha.reid@icloud.com, +447815239151, 64 Mcdonald Plains, Valley, Sheffield, Sheffield, United Kingdom, 929 9QR, 1972-11-13, Regular
155, Sharon, Stokes, sharon.stokes@outlook.com, +447799543941, 62 James Light, Station, North Tyneside, Newcastle, United Kingdom, 489 2CD, 1961-04-04, Regular
156, Jimmy, Walton, jimmy.walton@gmail.com, +447473383199, 7 Barnes Grove, Port, Barnsley, Sheffield, United Kingdom, 994 2CD, 1963-04-06, Premium
157, Rebecca, Flores, rebecca.flores@outlook.com, +447308859978, 7 Little Route, Court, Wirral, Liverpool, United Kingdom, 352 3EF, 1983-05-17, Premium
158, Kenneth, Montes, kenneth.montes@hotmail.com, +447374427296, 30 Stephanie Shores, Canyon, Wakefield, Leeds, United Kingdom, 106 8OP, 1986-10-11, Regular
159, Brittany, Anderson, brittany.anderson@hotmail.com, +447016891258, 55 Brandon Branch, Land, South Gloucestershire, Bristol, United Kingdom, 874 5IJ, 1986-09-11, Regular
160, Michelle, Gonzalez, michelle.gonzalez@outlook.com, +447279368167, 67 Thomas Forges, Ridges, Liverpool, Liverpool, United Kingdom, 885 5IJ, 1953-09-02, Regular
161, Phyllis, Bates, phyllis.bates@hotmail.com, +447222014425, 32 Campos Mall, Forest, Newark, Nottingham, United Kingdom, 655 9QR, 1981-06-24, Premium
162, Chad, Mata, chad.mata@hotmail.com, +447869781593, 45 Terry Well, Canyon, Mansfield, Nottingham, United Kingdom, 252 9QR, 1976-04-01, Regular
163, Christopher, Bryant, christopher.bryant@outlook.com, +447227238953, 78 Brandt Mission, Manors, Bolton, Manchester, United Kingdom, 515 7MN, 1972-09-23, Regular
164, Mary, Ball, mary.ball@yahoo.com, +447397737190, 88 Bush Station, Spring, Eastleigh, Southampton, United Kingdom, 909 2CD, 1972-05-03, Premium
165, Ronald, Cortez, ronald.cortez@yahoo.com, +447217730084, 40 Tammy Gardens, Extension, Sunderland, Newcastle, United Kingdom, 694 5IJ, 1964-03-21, Premium
166, Jacob, Reeves, jacob.reeves@gmail.com, +447521658008, 81 Sweeney Shoal, Extensions, Sheffield, Sheffield, United Kingdom, 865 8OP, 1998-02-10, Premium
167, Katherine, Butler, katherine.butler@gmail.com, +447069697511, 97 Kelsey Lodge, Mountain, Leeds, Leeds, United Kingdom, 207 3EF, 2003-10-03, Regular
168, Joseph, Hunt, joseph.hunt@icloud.com, +447740255411, 80 Suzanne Orchard, Shoals, South Tyneside, Newcastle, United Kingdom, 968 9QR, 1958-05-21, Regular
